"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04376593","PET/CT Imaging in COVID-19 Patients",,"Enrolling by invitation","No Results Available","COVID-19|SARS-CoV-2 Infection","Drug: 18F-αvβ6-BP","Administration of 18F-αvβ6-BP|Determine whether 18F-αvβ6-BP demonstrates accumulation in lung damage","University of California, Davis","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","1592298","May 1, 2020","May 2021","May 2022","May 6, 2020",,"July 7, 2020","University of California Davis, Sacramento, California, United States",,"https://ClinicalTrials.gov/show/NCT04376593"
12,"NCT04328012","COVID MED Trial - Comparison Of Therapeutics for Hospitalized Patients Infected With SARS-CoV-2","COVIDMED","Recruiting","No Results Available","SARS-CoV-2 Infection","Drug: lopinavir/ritonavir|Drug: Losartan|Drug: Placebos","National Institute of Allergy and Infectious Diseases COVID-19 Ordinal Severity Scale (NCOSS)|Hospital length of stay (LOS)|Intensive care unit level LOS|Mechanical ventilation|survival","Bassett Healthcare|Reid Health|Goshen Health System","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","4000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","1581969","April 6, 2020","January 1, 2021","April 1, 2021","March 31, 2020",,"August 20, 2020","Bassett Medical Center, Cooperstown, New York, United States",,"https://ClinicalTrials.gov/show/NCT04328012"
13,"NCT04359810","Plasma Therapy of COVID-19 in Critically Ill Patients",,"Recruiting","No Results Available","SARS-CoV Infection","Biological: Convalescent Plasma (anti-SARS-CoV-2 plasma)|Biological: Non-convalescent Plasma (control plasma)","Time to Improvement|Rate of SARS-CoV-2 PCR Positivity|Duration of SARS-CoV-2 PCR Positivity|Duration of Need for Supplemental Oxygen|Duration of Hospitalization|In-hospital 28-day Mortality Rate","Max R. O'Donnell|New York Blood Center|Columbia University","All","18 Years and older   (Adult, Older Adult)","Phase 2","105","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","AAAS9924","April 21, 2020","December 2020","April 2021","April 24, 2020",,"April 30, 2020","Columbia University Irving Medical Center/NYP, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04359810"
14,"NCT04383587","Seroprevalence of SARS CoV 2 Antibodies in Previously Undiagnosed Healthcare Workers",,"Completed","No Results Available","SARS-CoV 2|COVID-19","Other: Serologic testing","Prevalence of COVID19 Antibody Positivity|Ability to predict immune status/antibody positivity","Mayo Clinic","All","18 Years and older   (Adult, Older Adult)","Not Applicable","300","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","20-004054","May 6, 2020","July 1, 2020","July 31, 2020","May 12, 2020",,"September 1, 2020","Mayo Clinic in Florida, Jacksonville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT04383587"
15,"NCT04318444","Hydroxychloroquine Post Exposure Prophylaxis for Coronavirus Disease (COVID-19)",,"Recruiting","No Results Available","COVID-19|Corona Virus Infection","Drug: Hydroxychloroquine|Drug: Placebo oral tablet","Number of participants with symptomatic, lab-confirmed COVID-19.","Columbia University","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","1600","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","AAAS9676","March 29, 2020","March 2021","March 2022","March 24, 2020",,"April 27, 2020","Columbia University Irving Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04318444"
16,"NCT04377672","Human Convalescent Plasma for High Risk Children Exposed or Infected With SARS-CoV-2 (COVID-19)",,"Recruiting","No Results Available","Corona Virus Infection","Biological: Anti-SARS-CoV-2 Human Convalescent Plasma","Safety of treatment with high-titer anti-SARS-CoV-2 plasma as assessed by adverse events|Proportion of subjects with disease worsening event|Pharmacokinetics of anti-SARS-CoV-2 antibodies as defined by changes in antibody titers|Proportion of subjects with a natural antibody response to SARS-CoV-2 infection","Johns Hopkins University","All","1 Month to 18 Years   (Child, Adult)","Phase 1","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00247557","May 28, 2020","May 28, 2021","May 28, 2022","May 6, 2020",,"June 2, 2020","Johns Hopkins Hospitals, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04377672"
17,"NCT04354831","A Study Evaluating the Efficacy and Safety of High-Titer Anti-SARS-CoV-2 Plasma in Hospitalized Patients With COVID-19 Infection",,"Recruiting","No Results Available","COVID-19","Biological: anti-SARS-CoV-2 convalescent plasma","Overall Mortality within 60 days|Length of ICU stay during current admission for COVID","Medical College of Wisconsin|Froedtert Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2","131","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PRO00037712","May 11, 2020","May 1, 2022","May 1, 2023","April 21, 2020",,"May 13, 2020","Froedtert Hospital, Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04354831"
18,"NCT04390503","Convalescent Plasma for COVID-19 Close Contacts",,"Recruiting","No Results Available","SARS-CoV 2|COVID-19","Biological: Convalescent Plasma (anti-SARS-CoV-2 plasma)|Biological: Control (albumin 5%)","Rate of Severe Disease|Rate of measurable anti-SARS-CoV-2 titers|Rate of SARS-CoV-2 PCR Positivity|Duration of SARS-CoV-2 PCR Positivity|Levels of SARS-CoV-2 RNA","Columbia University","All","18 Years and older   (Adult, Older Adult)","Phase 2","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","AAAT0052","May 2020","April 2021","April 2021","May 15, 2020",,"May 15, 2020","Columbia University Irving Medical Center/NYP, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04390503"
19,"NCT04497389","Safety and Feasibility of Amniotic Fluid as a Treatment for COVID-19 Patients",,"Not yet recruiting","No Results Available","SARS CoV-2","Biological: Human Amniotic Fluid","C-reactive protein","University of Utah","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","132922","September 15, 2020","September 15, 2021","September 15, 2021","August 4, 2020",,"September 9, 2020","University of Utah Health, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT04497389"
20,"NCT04338126","Tranexamic Acid (TXA) and Corona Virus 2019 (COVID19) in Inpatients","TCInpatient","Not yet recruiting","No Results Available","COVID19","Drug: Tranexamic acid|Drug: Placebo oral tablet","Admission to Intensive Care Unit","University of Alabama at Birmingham","All","19 Years and older   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","TXACOVID2","September 30, 2020","December 15, 2020","December 31, 2020","April 8, 2020",,"June 11, 2020","University of Alabama at Birmingham, Birmingham, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT04338126"
21,"NCT04393948","Lung Irradiation for COVID-19 Pneumonia",,"Recruiting","No Results Available","SARS-CoV 2","Radiation: Phase 1|Radiation: Phase 2","Phase 1: Feasibility and safety of treating hospitalized patients with SARS-CoV-2 pneumonia with single or bilateral whole lung irradiation|Phase 2: Proportion with clinical improvement on a 7-point ordinal scale on day 4 after randomization|Improvement or worsening on the 7-point ordinal scale over additional intervals|Rate and duration of use of supplemental oxygen|Rate and duration of fever > 38ºC|Rate and duration of invasive mechanical ventilation|Duration of hospitalization|Proportion of participants with overall survival up to 30 days after randomization|Improvement in radiographic findings related to infection/inflammation; comparisons include on study versus baseline scans and irradiated vs. unirradiated lung in subjects randomized to receive single lung irradiation|Treatment-emergent adverse events","Brigham and Women's Hospital","All","40 Years and older   (Adult, Older Adult)","Not Applicable","48","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020P001494","June 2020","October 2020","November 2020","May 19, 2020",,"June 25, 2020","Brigham and Women's Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04393948"
22,"NCT04385199","Convalescent Plasma for Patients With COVID-19",,"Recruiting","No Results Available","Coronavirus Infection|Coronavirus|COVID","Biological: Convalescent plasma","Improvement in respiratory disease|ICU Length of Stay|Length of Stay|Ventilator days|Tolerability of convalescent plasma|Radiographic improvement","Henry Ford Health System","All","18 Years and older   (Adult, Older Adult)","Phase 2","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","13807","May 4, 2020","August 1, 2020","August 1, 2020","May 12, 2020",,"May 12, 2020","Henry Ford Hospital, Detroit, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT04385199"
23,"NCT04364802","COVID-19: Povidone-Iodine Intranasal Prophylaxis in Front-line Healthcare Personnel and Inpatients","PIIPPI","Recruiting","No Results Available","COVID-19|SARS-CoV 2","Drug: Povidone-Iodine Nasal Spray and Gargle","Percent of healthcare workers testing positive for COVID-19.|Percent of patients testing positive for COVID-9.|PVP-I Ease of Use|PVP-I Comfort","Alexandra Kejner|University of Kentucky","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","250","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","58748","April 29, 2020","May 2021","May 2021","April 28, 2020",,"May 14, 2020","University of Kentucky, Lexington, Kentucky, United States",,"https://ClinicalTrials.gov/show/NCT04364802"
24,"NCT04319731","A Pilot Study of Human Amniotic Fluid for COVID19 Associated Respiratory Failure",,"Recruiting","No Results Available","SARS CoV-2 Infection","Biological: Human Amniotic Fluid","Ventilator Free Days|Duration of supplemental oxygen use|All cause mortality|Systemic inflammation","University of Utah","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","131618","March 20, 2020","March 20, 2021","March 20, 2021","March 24, 2020",,"April 17, 2020","University of Utah Health, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT04319731"
25,"NCT04502472","Open-label Treatment of Severe Coronavirus Disease 2019 (COVID-19) With Convalescent Plasma","Inova-CCP","Recruiting","No Results Available","Covid-19","Biological: Convalescent plasma transfusion","Change is clinical status|Transfusion related events|SOFA score at days 0, 7, 14, 21, 28|Length of Hospital Stay|Supplemental oxygen|Mechanical Ventilation|Change in mechanical ventilation status|Mortality|Change in inflammatory markers","Inova Health Care Services","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","200","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Inova COVID-19 CCP","June 6, 2020","December 31, 2021","December 31, 2021","August 6, 2020",,"August 6, 2020","Inova Fairfax Medical Campus, Falls Church, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT04502472"
26,"NCT04374279","Trial to Promote Recovery From COVID-19 With Endocrine Therapy","RECOVER","Not yet recruiting","No Results Available","COVID-19|SARS-CoV 2","Drug: Bicalutamide 150 Mg Oral Tablet","Percentage of participants who have clinical improvement at day 7 after randomization|All-cause mortality|Duration of hospitalization|Percentage of patients needing upgrade to the intermediate care unit (IMC)|Duration of IMC stay|Percentage of patients needing upgrade to the intensive care unit (ICU)|Duration of ICU stay|Number of participants requiring mechanical ventilation|Duration of mechanical ventilation|Number of participants experiencing adverse events","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins","All","18 Years and older   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","COV2003|IRB00249425","November 2020","November 2021","November 2021","May 5, 2020",,"October 5, 2020","Johns Hopkins Hospital, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04374279"
27,"NCT04348500","Clazakizumab (Anti-IL- 6 Monoclonal) Compared to Placebo for COVID19 Disease",,"Active, not recruiting","No Results Available","COVID19","Drug: Clazakizumab","Evaluate the safety of clazakizumab for the treatment of patients with COVID-19 disease and signs of pulmonary involvement|Patient survival at 28 days|Patient survival at 60 days|Number of patients requiring the dose of open-label clazakizumab|Reduced duration of intensive care unit stay|Reduced duration of hospital stay|Reduced need for ventilation","Cedars-Sinai Medical Center","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 2","17","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","00000644","April 24, 2020","December 31, 2020","March 31, 2021","April 16, 2020",,"October 5, 2020","Cedars-Sinai Medical Center, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT04348500"
28,"NCT04347954","PVP-I Nasal Sprays and SARS-CoV-2 Nasopharyngeal Titers (for COVID-19)",,"Recruiting","No Results Available","COVID-19","Drug: Povidone-Iodine 2%|Drug: Povidone-Iodine 0.5%|Drug: Isotonic saline 0.9%","Mean change in viral titers of SARS-CoV-2|Frequency of adverse effects of interest after nasal sprays|Frequency of symptoms related to SARS-CoV-2|Compliance with study drug administration|Change from baseline in University of Pennsylvania Smell Identification Test (UPSIT)","Stanford University","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","45","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","IRB-56134","August 15, 2020","December 2020","January 2021","April 15, 2020",,"September 21, 2020","Stanford Health Care, Stanford, California, United States",,"https://ClinicalTrials.gov/show/NCT04347954"
29,"NCT04489628","Tele-health Enabled Clinical Trial for COVID-19",,"Not yet recruiting","No Results Available","SARS-CoV Infection","Drug: Vitamin D3 or Placebo|Device: Doctella telehealth monitoring","Patients requiring admission to the hospital or experiencing death","University Hospitals Cleveland Medical Center|Northwestern University","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","110","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","STUDY20200461","August 1, 2020","August 1, 2021","August 1, 2021","July 28, 2020",,"July 31, 2020","Northwestern University, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT04489628"
30,"NCT04366791","Radiation Eliminates Storming Cytokines and Unchecked Edema as a 1-Day Treatment for COVID-19","RESCUE 1-19","Recruiting","No Results Available","Pneumonia|Coronavirus Infection in 2019 (COVID-19)|Severe Acute Respiratory Syndrome (SARS) Pneumonia","Radiation: Low Dose Radiation Therapy","Rate of extubation (for intubated patients)|Clinical outcome - Temperature|Clinical outcome - Heart Rate|Clinical outcome - Systolic blood pressure|Clinical outcome - Oxygenation|Clinical outcome - Respirations|Clinical outcome - FiO2|Clinical outcome - PEEP|Clinical outcome - Tidal volume|Clinical outcome - Intubation/Extubation events|Clinical outcome - Overall survival|Radiographic outcome - Chest xray|Radiographic outcome - CT can|Serologic outcome - WBC|Serologic outcome - Hgb|Serologic outcome - Procalcitonin|Serologic outcome - ANC|Serologic outcome - Creatine kinase|Serologic outcome - Myoglobin|Serologic outcome - Albumin|Serologic outcome - PT/PTT|Serologic outcome - D-Dimer|Serologic outcome - GGT|Serologic outcome -Triglycerides|Serologic outcome -Ferritin|Serologic outcome -Fibrinogen|Serologic Immune markers flow cytometry|Serologic outcome -Bilirubin|Serologic outcome - LDH|Serologic outcome - Creatinine|Serologic outcome - EGFR|Serologic outcome - CRP|Serologic outcome - ALT|Serologic outcome - AST|Serologic outcome - Troponin-I|Serologic outcome - BNP|Serologic outcome - Blood Gases pH|Serologic outcome - Blood Gases pO2|Serologic outcome - Blood Gases pCO2|Serologic outcome - Lactic Acid|Serologic outcome - IL-6|Serologic outcome - Potassium","Emory University","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STUDY00000476|NCI-2020-02676|RAD5002-20|P30CA138292","April 23, 2020","October 23, 2020","October 23, 2020","April 29, 2020",,"June 17, 2020","Emory University Hospital Midtown/Winship Cancer Institute, Atlanta, Georgia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/91/NCT04366791/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04366791"
